country,value
Australia,0.318
Austria,0.274
Belgium,0.262
Canada,0.28
Chile,0.46
Colombia,NA
Costa Rica,0.487
Czech Republic,0.248
Denmark,0.268
Estonia,0.305
Finland,0.273
France,0.292
Germany,0.296
Greece,0.308
Hungary,0.286
Iceland,0.25
Ireland,0.292
Israel,0.342
Italy,0.33
Japan,0.334
Korea,0.331
Latvia,0.355
Lithuania,0.357
Luxembourg,0.305
Mexico,0.42
Netherlands,0.304
New Zealand,0.32
Norway,0.263
Poland,0.281
Portugal,0.31
Slovak Republic,0.222
Slovenia,0.246
Spain,0.32
Sweden,0.276
Switzerland,0.316
TÃ¼rkiye,0.415
United Kingdom,0.355
United States,0.375
Brazil,0.481
Bulgaria,0.402
China,0.514
India,0.495
Romania,0.339
Russian Federation,0.317
South Africa ,0.618
